url,size,title,price,location
https://sfbay.craigslist.org/eby/apa/5519043772.html,/ 2br - 1000ft2 - ,Beautiful 2BR - Adams Point, Bay View, Close to Transbay/BART, 1000sqf,$2550,  (oakland lake merritt / grand)   pic map 
https://sfbay.craigslist.org/eby/apa/5514614435.html,/ 1br - ,Short Term Furnished Cottage,$2500,  (oakland piedmont / montclair)   pic map 
https://sfbay.craigslist.org/eby/apa/5510556370.html,/ 2br - 713ft2 - ,Berkeley - Close to Hwy, Shopping, & Campus,$2350,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519035180.html,/ 1br - 632ft2 - ,Sunny Home With Spectacular Features!!,$2542,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5518972656.html,/ 1br - ,95 Linda Ave, Spacious open Kitchen, Right off Piedmont Avenue!,$1995,  (oakland piedmont / montclair)   pic map 
https://sfbay.craigslist.org/eby/apa/5519026008.html,/ 2br - 900ft2 - ,Quiet, Spacious Unit w Hill View on High Floor , 3 Blks to Cal & BART,$3100,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519025562.html,/ 3br - 900ft2 - ,Quiet, Spacious Unit w Hill View on High Floor , 3 Blks to Cal & BART,$3400,  (berkeley north / hills)   pic map 
https://sfbay.craigslist.org/eby/apa/5519025389.html,/ 2br - ,274 40th Street Way, Updated Kitchen/Bath, Granite Counter tops,$2350,  (oakland lake merritt / grand)   pic map 
https://sfbay.craigslist.org/eby/apa/5519025210.html,/ 1br - 650ft2 - ,Large Bright Quiet Unit with Balcony, 3 Blks to UC & BART,$2250,  (berkeley north / hills)   pic map 
https://sfbay.craigslist.org/eby/apa/5519019952.html,/ 3br - ,3 Bedroom with W/D in Unit! Ward E,$4295,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519010170.html,/ 1br - ,400 Orange St, Condo-quality, Adam's Point, Walk to Lake,$1995,  (oakland lake merritt / grand)   pic map 
https://sfbay.craigslist.org/eby/apa/5518995702.html,/ 2br - ,95 Linda Ave, Wonderful, Completely Renovated 2Bd/2BA, Piedmont Ave,$3095,  (oakland piedmont / montclair)   pic map 
https://sfbay.craigslist.org/eby/apa/5519001406.html,/ 2br - ,95 Linda Ave, Updated Kitchen, Lots of Light, Balcony,$2795,  (oakland piedmont / montclair)   pic map 
https://sfbay.craigslist.org/eby/apa/5490982577.html,/ 2br - 900ft2 - ,Beautiful House in North Berkeley, Fully Furnished,$3000,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519006052.html,/ 3br - ,3 Bedroom w/ Patio Close to Campus - Must See: B308,$4395,  (berkeley)   pic map 
